species	accession
Campylobacter ureolyticus	GCF_000374605.1
Campylobacter corcagiensis	GCF_000597805.1
Campylobacter geochelonis	GCA_900063025.1
Campylobacter hominis	GCF_000017585.1
Campylobacter gracilis	GCF_000175875.1
Campylobacter sputorum	GCF_000788295.1
Campylobacter fetus	GCF_000015085.1
Campylobacter hyointestinalis	GCF_000705275.1
Campylobacter iguaniorum	GCF_001483985.1
Campylobacter sp.	UBA1713
Campylobacter curvus	GCF_000376325.1
Campylobacter concisus	GCF_000466745.1
Campylobacter mucosalis	GCF_000705255.1
Campylobacter rectus	GCF_000174175.1
Campylobacter subantarcticus	GCF_000816305.1
Campylobacter lari	GCF_000816405.1
Campylobacter peloridis	GCF_000816785.1
Campylobacter insulaenigrae	GCF_000816185.1
Campylobacter volucris	GCF_000816345.1
Campylobacter jejuni	GCF_000254515.1
Campylobacter coli	GCF_000583775.1
Campylobacter upsaliensis	GCF_000620965.1
Campylobacter cuniculorum	GCF_000621005.1
Sulfurospirillum multivorans	GCF_000568815.1
Sulfurospirillum arsenophilum	GCF_000813345.1
Sulfurospirillum sp. UCH001	GCA_001548035.1
Sulfurospirillum deleyianum	GCF_000024885.1
Sulfurospirillum barnesii	GCF_000265295.1
Sulfurospirillum cavolei	GCF_000813325.1
Sulfurospirillum sp.	UBA2217
Sulfurospirillum sp.	UBA6810
Sulfurospirillum sp.	UBA12182
Sulfurospirillum arcachonense	GCF_000597725.1
Sulfurospirillum sp.	UBA1877
Helicobacter ailurogastricus	GCF_001282945.1
Helicobacter heilmannii	GCF_001282965.1
Helicobacter suis	GCF_000187625.1
Helicobacter bizzozeronii	GCF_000237285.1
Helicobacter felis	GCF_000200595.1
Helicobacter cetorum	GCF_000259255.1
Helicobacter pylori	GCF_001278545.1
Helicobacter mustelae	GCF_000091985.1
Helicobacter bilis	GCF_000158435.2
Helicobacter trogontum	GCF_000765885.1
Helicobacter sanguini	GCF_000762875.1
Helicobacter macacae	GCF_000507845.1
Helicobacter canisd	GCF_000507865.1
Helicobacter fennelliae	GCF_000509365.1
Helicobacter hepaticus	GCF_000007905.1
Helicobacter typhlonius	GCF_001460635.1
Helicobacter cinaedi	GCF_000349975.1
Helicobacter magdeburgensis	GCF_000765825.1
Helicobacter sp. MIT 09-6949	GCF_000763135.1
Helicobacter sp. MIT 05-5293	GCF_000765665.1
Helicobacter himalayensis	GCA_001602095.1
Helicobacter pametensis	GCF_000518225.1
Helicobacter canadensis	GCF_000162575.1
Helicobacter pullorum	GCF_001298055.1
Helicobacter apodemus	GCF_000765745.1
Helicobacter winghamensis	GCF_000158455.1
Helicobacter rodentium	GCF_000687535.1
Wolinella succinogenes	GCF_000196135.1
	UBA6016
Sulfurimonas autotrophica	GCF_000147355.1
Sulfurimonas sp.	UBA2011
Sulfurimonas gotlandica	GCF_000242915.1
Sulfurimonas sp. AST-10	GCF_000445475.1
Sulfurimonas sp.	UBA6014
Sulfurimonas sp.	UBA12504
Sulfurimonas denitrificans	GCF_000012965.1
Sulfurimonas sp.	UBA6792
Sulfurimonas sp.	UBA10385
Sulfurimonas sp.	UBA6795
Sulfuricurvum sp. MLSB	GCA_000747095.1
Sulfuricurvum sp.	UBA2173
Sulfuricurvum kujiense	GCF_000183725.1
Sulfuricurvum sp. PC08-66	GCA_000830255.1
Thiovulum sp. ES	GCA_000276965.1
Arcobacter cryaerophilus	GCA_001572875.1
Arcobacter skirrowii	GCA_001572935.1
Arcobacter cibarius	GCF_000522465.1
Arcobacter faecis	GCF_000585155.1
Arcobacter lanthieri	GCF_000648635.1
Arcobacter butzleri	GCF_000014025.1
Arcobacter sp. L	GCF_000284235.1
Arcobacter sp.	UBA7394
Arcobacter anaerophilus	GCF_000935065.1
Arcobacter sp.	UBA1348
Arcobacter nitrofigilis	GCF_000092245.1
Arcobacter sp.	UBA2440
Arcobacter sp.	UBA6211
Sulfurovum sp. AR	GCF_000296775.1
Sulfurovum lithotrophicum	GCF_000987835.1
Sulfurovum sp.	UBA4779
Sulfurovum sp.	UBA12169
Sulfurovum sp.	UBA1140
Sulfurovum sp. C5	GCA_001493195.1
Sulfurovum sp.	UBA5622
Sulfurovum sp.	UBA5198
Sulfurovum sp. FS08-3	GCA_000830175.1
Nitratifractor salsuginis	GCF_000186245.1
Hydrogenimonas thermophilia	GCA_900115615.1
Nitratiruptor sp. SB155-2	GCF_000010325.1
Nautilia profundicola	GCF_000021725.1
Lebetimonas sp. JS138	GCF_000523335.1
Caminibacter mediatlanticus	GCF_000170735.1
Hippea maritima	GCF_000194135.1
Hippea alviniae	GCF_000420385.1
Hippea jasoniae	GCF_000744435.1
Desulfurella acetivorans	GCF_000517565.1
Escherichia coli	GCF_000005845.2
Rhizobium leguminosarum	GCF_000021345.1
Acidobacteriaceae bacterium	GCF_000381605.1
Prevotella multisaccharivorax	GCF_000218235.1
Rhodopirellula maiorica	GCF_000346295.1
Bdellovibrio bacteriovorus	GCF_000317895.1
Staphylococcus epidermidis	GCF_000007645.1
Butyrivibrio proteoclasticus	GCF_000145035.1
Prochlorococcus marinus	GCA_000218745.1
Aquifex aeolicus	GCF_000008625.1
