saccver	subject_gcf	organism_name	infraspecific_name	taxid	species_taxid
WP_013468673.1	GCF_000200595.1	Helicobacter felis ATCC 49179	strain=ATCC 49179	936155	214
WP_020973021.1	GCF_000590775.1	Helicobacter pylori SouthAfrica20	strain=SouthAfrica20	1352356	210
WP_064435007.1	GCF_001653455.1	Helicobacter pylori	strain=K26A1	210	210
WP_013890765.1	GCF_000237285.1	Helicobacter bizzozeronii CIII-1	strain=CIII-1	1002804	56877
WP_081478672.1	GCF_000259255.1	Helicobacter cetorum MIT 00-7128	strain=MIT 00-7128	182217	138563
WP_000930986.1	GCF_000185245.1	Helicobacter pylori SouthAfrica7	strain=SouthAfrica7	907239	210
WP_011578517.1	GCF_000009305.1	Helicobacter acinonychis str. Sheeba	strain=Sheeba	382638	212
WP_104687745.1	GCF_900198455.1	Helicobacter acinonychis		212	212
WP_125303511.1	GCF_003939085.1	Helicobacter pylori	strain=HP42K	210	210
WP_126442288.1	GCF_900638475.1	Helicobacter pylori	strain=NCTC13345	210	210
WP_026938061.1	GCF_000685625.1	Helicobacter pylori J166	strain=J166	102611	210
WP_000931044.1	GCF_000021465.1	Helicobacter pylori P12	strain=P12	570508	210
WP_000931070.1	GCF_002906495.1	Helicobacter pylori	strain=dRdM1	210	210
WP_000931070.1	GCF_002906555.1	Helicobacter pylori	strain=26695-dRdM2	210	210
WP_000931070.1	GCF_002906535.1	Helicobacter pylori	strain=26695-dR	210	210
NP_208270.1	GCF_000008525.1	Helicobacter pylori 26695	strain=26695	85962	210
WP_000931070.1	GCF_000307795.1	Helicobacter pylori 26695	strain=26695	85962	210
WP_000931070.1	GCF_000307835.1	Helicobacter pylori Rif2	strain=Rif2	1234600	210
WP_000931070.1	GCF_002953555.1	Helicobacter pylori	strain=dRdM2addM2	210	210
WP_000931070.1	GCF_000307815.1	Helicobacter pylori Rif1	strain=Rif1	1234365	210
WP_000931070.1	GCF_002906515.1	Helicobacter pylori	strain=26695-dRdM1dM2	210	210
