CD56_RS022,Campylobacter_lari_GCF_001017575.1
UPTC16712,Campylobacter_lari_RM16712_GCF_000816425.1
CONCH_RS02,Campylobacter_lari_subsp._concheus_LMG_11760_GCF_000816225.1
UPTC16701,Campylobacter_lari_RM16701_GCF_000816405.1
UPTC4110_R,Campylobacter_lari_CCUG_22395_GCF_000816385.2
CSUB8523_R,Campylobacter_subantarcticus_LMG_24377_GCF_000816305.1
UPTC3659_R,Campylobacter_lari_NCTC_11845_GCF_000816365.1
EL235_RS02,Campylobacter_lari_GCF_900638335.1
A9460_RS00,Campylobacter_volucris_GCF_004345045.1
CVOL_RS022,Campylobacter_volucris_LMG_24379_GCF_000816345.1
CLA_RS0229,Campylobacter_lari_RM2100_GCF_000019205.1
CPEL_RS023,Campylobacter_peloridis_LMG_23910_GCF_000816785.1
CAQ16704_R,Campylobacter_sp._RM16704_GCF_000816245.1
CSUB8521_R,Campylobacter_subantarcticus_LMG_24374_GCF_000816265.1
EL283_RS00,Campylobacter_insulaenigrae_GCF_900638675.1
EL187_RS02,Campylobacter_insulaenigrae_GCF_900637885.1
CINS_RS021,Campylobacter_insulaenigrae_NCTC_12927_GCF_000816185.1
A2J15_RS00,Campylobacter_hepaticus_GCF_001687475.2
BLD36_RS00,Campylobacter_coli_GCF_001865555.1
BLD33_RS05,Campylobacter_coli_GCF_001865515.1
N149_RS001,Campylobacter_coli_15-537360_GCF_000494775.1
CPG33_RS01,Campylobacter_jejuni_GCF_002407125.1
AR449_RS00,Campylobacter_coli_GCF_001417615.1
CJS3_RS001,Campylobacter_jejuni_subsp._jejuni_S3_GCF_000184205.1
BU815_RS00,Campylobacter_coli_GCF_001936355.1
CJ14980A_R,Campylobacter_jejuni_subsp._jejuni_GCF_001717625.1
CXQ83_RS00,Campylobacter_coli_GCF_002843985.1
EL232_RS01,Campylobacter_jejuni_GCF_900638185.1
CCO2228_RS,Campylobacter_coli_GCF_004307315.1
BLD39_RS00,Campylobacter_coli_GCF_001865495.1
N755_RS001,Campylobacter_jejuni_subsp._jejuni_00-2544_GCF_000466075.2
A911_RS001,Campylobacter_jejuni_subsp._jejuni_PT14_GCF_000302555.5
BD32_RS001,Campylobacter_jejuni_GCF_001951315.1
AOD58_RS00,Campylobacter_jejuni_GCF_001314285.1
A0W68_RS00,Campylobacter_jejuni_GCF_001587015.1
RC05_RS082,Campylobacter_jejuni_GCF_001507205.1
RC42_RS037,Campylobacter_jejuni_GCF_001506245.1
RB95_RS085,Campylobacter_jejuni_GCF_001507085.1
CEP74_RS01,Campylobacter_jejuni_subsp._doylei_GCF_002983725.1
DQL24_RS00,Campylobacter_jejuni_subsp._doylei_GCF_900474415.1
JJD26997_R,Campylobacter_jejuni_subsp._doylei_269.97_GCF_000017485.1
N918_RS001,Campylobacter_jejuni_subsp._jejuni_NCTC_11168-mfK12E5_GCF_000830845.1
CGZ70_RS00,Campylobacter_jejuni_GCF_002224325.1
A6J91_RS04,Campylobacter_jejuni_subsp._jejuni_GCF_002209025.1
BN148_RS00,Campylobacter_jejuni_subsp._jejuni_NCTC_11168-BN148_GCF_000304375.1
N920_RS001,Campylobacter_jejuni_subsp._jejuni_NCTC_11168-K12E5_GCF_000830775.1
C1336_RS08,Campylobacter_jejuni_subsp._jejuni_1336_GCF_000163975.1
EL236_RS00,Campylobacter_jejuni_GCF_900638225.1
CGZ84_RS00,Campylobacter_jejuni_GCF_002238355.1
CJJ81176_R,Campylobacter_jejuni_subsp._jejuni_81-176_GCF_000015525.1
CGZ78_RS00,Campylobacter_jejuni_GCF_002224385.1
EL227_RS00,Campylobacter_jejuni_GCF_900638205.1
EL221_RS00,Campylobacter_jejuni_GCF_900638175.1
MTVDSCJ20,Campylobacter_jejuni_subsp._jejuni_GCF_000737085.1
CJM1cam_RS,Campylobacter_jejuni_GCF_001412295.1
CJM1_RS001,Campylobacter_jejuni_subsp._jejuni_M1_GCF_000148705.1
FORC46_RS0,Campylobacter_jejuni_GCF_002214785.1
CjjRM3197,Campylobacter_jejuni_subsp._jejuni_GCF_001299565.1
CJJRM3420,Campylobacter_jejuni_subsp._jejuni_str._RM3420_GCF_001767215.1
B0D73_RS00,Campylobacter_jejuni_GCF_002101355.1
CjjRM3196,Campylobacter_jejuni_subsp._jejuni_GCF_001299595.1
CJJRM1285,Campylobacter_jejuni_subsp._jejuni_GCF_001686905.1
CFK74_RS00,Campylobacter_jejuni_GCF_002234455.1
B2K12_RS00,Campylobacter_jejuni_GCF_002024325.1
UC78_RS001,Campylobacter_jejuni_subsp._jejuni_GCF_000934305.1
CJ12661_RS,Campylobacter_jejuni_GCF_003060765.1
B5D75_RS00,Campylobacter_jejuni_subsp._jejuni_GCF_002028305.1
C8J_RS0014,Campylobacter_jejuni_subsp._jejuni_81116_GCF_000017905.1
AEI26_RS03,Campylobacter_jejuni_GCF_003368105.1
AEI02_RS00,Campylobacter_jejuni_GCF_003368045.1
AEI01_RS01,Campylobacter_jejuni_GCF_003368085.1
EL238_RS00,Campylobacter_jejuni_GCF_900638285.1
A6J94_RS03,Campylobacter_jejuni_subsp._jejuni_GCF_002209065.1
BN867_RS00,Campylobacter_jejuni_4031_GCF_000493495.1
BD28_RS001,Campylobacter_jejuni_GCF_001951255.1
BD29_RS001,Campylobacter_jejuni_GCF_001951275.1
AEI08_RS08,Campylobacter_jejuni_GCF_003368125.1
AEI10_RS03,Campylobacter_jejuni_GCF_003368065.1
BLD38_RS00,Campylobacter_jejuni_GCF_001865395.1
AEI15_RS08,Campylobacter_jejuni_GCF_003368145.1
A6J90_RS01,Campylobacter_jejuni_subsp._jejuni_GCF_002209005.1
AT682_RS00,Campylobacter_jejuni_GCF_001457695.1
