species	accession
Rhodopirellula maiorica SM1	GCF_000346295.1
Aquifex aeolicus VF5	GCF_000008625.1
Prevotella multisaccharivorax DSM 17128	GCF_000218235.1
Acidobacteriaceae KBS 89	GCF_000381605.1
Staphylococcus epidermidis ATCC 12228	GCF_000007645.1
Butyrivibrio proteoclasticus B316	GCF_000145035.1
Rhizobium leguminosarum bv. trifolii WSM2304	GCF_000021345.1
Bdellovibrio bacteriovorus str. Tiberius	GCF_000317895.1
Escherichia coli str. K-12	GCF_000005845.2
Campylobacter lari	GCF_001017575.1
Campylobacter lari RM16712	GCF_000816425.1
Campylobacter lari subsp. concheus LMG 11760	GCF_000816225.1
Campylobacter lari RM16701	GCF_000816405.1
Campylobacter lari CCUG 22395	GCF_000816385.2
Campylobacter subantarcticus LMG 24377	GCF_000816305.1
Campylobacter lari NCTC 11845	GCF_000816365.1
Campylobacter lari	GCF_900638335.1
Campylobacter volucris	GCF_004345045.1
Campylobacter volucris LMG 24379	GCF_000816345.1
Campylobacter lari RM2100	GCF_000019205.1
Campylobacter peloridis LMG 23910	GCF_000816785.1
Campylobacter sp. RM16704	GCF_000816245.1
Campylobacter subantarcticus LMG 24374	GCF_000816265.1
Campylobacter insulaenigrae	GCF_900638675.1
Campylobacter insulaenigrae	GCF_900637885.1
Campylobacter insulaenigrae NCTC 12927	GCF_000816185.1
Campylobacter hepaticus	GCF_001687475.2
Campylobacter coli	GCF_001865555.1
Campylobacter coli	GCF_001865515.1
Campylobacter coli 15-537360	GCF_000494775.1
Campylobacter jejuni	GCF_002407125.1
Campylobacter coli	GCF_001417615.1
Campylobacter jejuni subsp. jejuni S3	GCF_000184205.1
Campylobacter coli	GCF_001936355.1
Campylobacter jejuni subsp. jejuni	GCF_001717625.1
Campylobacter coli	GCF_002843985.1
Campylobacter jejuni	GCF_900638185.1
Campylobacter coli	GCF_004307315.1
Campylobacter coli	GCF_001865495.1
Campylobacter jejuni subsp. jejuni 00-2544	GCF_000466075.2
Campylobacter jejuni subsp. jejuni PT14	GCF_000302555.5
Campylobacter jejuni	GCF_001951315.1
Campylobacter jejuni	GCF_001314285.1
Campylobacter jejuni	GCF_001587015.1
Campylobacter jejuni	GCF_001507205.1
Campylobacter jejuni	GCF_001506245.1
Campylobacter jejuni	GCF_001507085.1
Campylobacter jejuni subsp. doylei	GCF_002983725.1
Campylobacter jejuni subsp. doylei	GCF_900474415.1
Campylobacter jejuni subsp. doylei 269.97	GCF_000017485.1
Campylobacter jejuni subsp. jejuni NCTC 11168-mfK12E5	GCF_000830845.1
Campylobacter jejuni	GCF_002224325.1
Campylobacter jejuni subsp. jejuni	GCF_002209025.1
Campylobacter jejuni subsp. jejuni NCTC 11168-BN148	GCF_000304375.1
Campylobacter jejuni subsp. jejuni NCTC 11168-K12E5	GCF_000830775.1
Campylobacter jejuni subsp. jejuni 1336	GCF_000163975.1
Campylobacter jejuni	GCF_900638225.1
Campylobacter jejuni	GCF_002238355.1
Campylobacter jejuni subsp. jejuni 81-176	GCF_000015525.1
Campylobacter jejuni	GCF_002224385.1
Campylobacter jejuni	GCF_900638205.1
Campylobacter jejuni	GCF_900638175.1
Campylobacter jejuni subsp. jejuni	GCF_000737085.1
Campylobacter jejuni	GCF_001412295.1
Campylobacter jejuni subsp. jejuni M1	GCF_000148705.1
Campylobacter jejuni	GCF_002214785.1
Campylobacter jejuni subsp. jejuni	GCF_001299565.1
Campylobacter jejuni subsp. jejuni str. RM3420	GCF_001767215.1
Campylobacter jejuni	GCF_002101355.1
Campylobacter jejuni subsp. jejuni	GCF_001299595.1
Campylobacter jejuni subsp. jejuni	GCF_001686905.1
Campylobacter jejuni	GCF_002234455.1
Campylobacter jejuni	GCF_002024325.1
Campylobacter jejuni subsp. jejuni	GCF_000934305.1
Campylobacter jejuni	GCF_003060765.1
Campylobacter jejuni subsp. jejuni	GCF_002028305.1
Campylobacter jejuni subsp. jejuni 81116	GCF_000017905.1
Campylobacter jejuni	GCF_003368105.1
Campylobacter jejuni	GCF_003368045.1
Campylobacter jejuni	GCF_003368085.1
Campylobacter jejuni	GCF_900638285.1
Campylobacter jejuni subsp. jejuni	GCF_002209065.1
Campylobacter jejuni 4031	GCF_000493495.1
Campylobacter jejuni	GCF_001951255.1
Campylobacter jejuni	GCF_001951275.1
Campylobacter jejuni	GCF_003368125.1
Campylobacter jejuni	GCF_003368065.1
Campylobacter jejuni	GCF_001865395.1
