gcf	description	gene_name	accver	gene_location	locus_tag	organism_name	infraspecific_name	taxid	species_taxid
GCA_000310245.1	Candidatus Sulfuricurvum sp. RIFRC-1, complete genome	16S ribosomal RNA	CP003920.1	[642261:643775](+)	B649_r11910	Candidatus Sulfuricurvum sp. RIFRC-1		1249480	1249480
GCA_000310245.1	Candidatus Sulfuricurvum sp. RIFRC-1, complete genome	16S ribosomal RNA	CP003920.1	[1053724:1055238](+)	B649_r11912	Candidatus Sulfuricurvum sp. RIFRC-1		1249480	1249480
GCA_000310245.1	Candidatus Sulfuricurvum sp. RIFRC-1, complete genome	16S ribosomal RNA	CP003920.1	[1853314:1854828](-)	B649_r11914	Candidatus Sulfuricurvum sp. RIFRC-1		1249480	1249480
GCA_000310245.1	Candidatus Sulfuricurvum sp. RIFRC-1, complete genome	16S ribosomal RNA	CP003920.1	[2310118:2311632](-)	B649_r11916	Candidatus Sulfuricurvum sp. RIFRC-1		1249480	1249480
GCA_000987835.1	Sulfurovum lithotrophicum strain ATCC BAA-797, complete genome	16S ribosomal RNA	CP011308.1	[37766:39280](+)	YH65_00205	Sulfurovum lithotrophicum	strain=ATCC BAA-797	206403	206403
GCA_000987835.1	Sulfurovum lithotrophicum strain ATCC BAA-797, complete genome	16S ribosomal RNA	CP011308.1	[1717853:1719367](-)	YH65_08430	Sulfurovum lithotrophicum	strain=ATCC BAA-797	206403	206403
GCA_000987835.1	Sulfurovum lithotrophicum strain ATCC BAA-797, complete genome	16S ribosomal RNA	CP011308.1	[2124477:2125991](-)	YH65_10495	Sulfurovum lithotrophicum	strain=ATCC BAA-797	206403	206403
GCA_001506325.1	Campylobacter jejuni strain CJ677CC010, complete genome	16S ribosomal RNA	CP010478.1	[387317:388835](+)	RB96_02165	Campylobacter jejuni	strain=CJ677CC010	197	197
GCA_003945285.1	Hydrogenimonas sp. MAG DNA, complete genome		AP019005.1			Hydrogenimonas sp.		2231112	2231112
GCF_000007905.1	Helicobacter hepaticus ATCC 51449, complete genome	16S ribosomal RNA	NC_004917.1	[956836:958337](-)	HH_RS04845	Helicobacter hepaticus ATCC 51449	strain=ATCC 51449	235279	32025
GCF_000008525.1	Helicobacter pylori 26695 chromosome, complete genome	16S ribosomal RNA	NC_000915.1	[1207582:1209081](-)	HPr04	Helicobacter pylori 26695	strain=26695	85962	210
GCF_000008525.1	Helicobacter pylori 26695 chromosome, complete genome	16S ribosomal RNA	NC_000915.1	[1511136:1512634](-)	HPr07	Helicobacter pylori 26695	strain=26695	85962	210
GCF_000008785.1	Helicobacter pylori J99, complete genome	16S ribosomal RNA	NC_000921.1	[1188021:1189530](-)	JHP_RS05585	Helicobacter pylori J99	strain=J99	85963	210
GCF_000008785.1	Helicobacter pylori J99, complete genome	16S ribosomal RNA	NC_000921.1	[1463039:1464548](-)	JHP_RS06985	Helicobacter pylori J99	strain=J99	85963	210
GCF_000009085.1	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819 chromosome, complete genome	16S ribosomal RNA	NC_002163.1	[39248:40761](+)	Cjr01	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	strain=NCTC 11168	192222	197
GCF_000009085.1	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819 chromosome, complete genome	16S ribosomal RNA	NC_002163.1	[394129:395642](+)	Cjr04	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	strain=NCTC 11168	192222	197
GCF_000009085.1	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819 chromosome, complete genome	16S ribosomal RNA	NC_002163.1	[696423:697936](+)	Cjr07	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	strain=NCTC 11168	192222	197
GCF_000009305.1	Helicobacter acinonychis str. Sheeba complete genome, strain Sheeba	16S ribosomal RNA	NC_008229.1	[151800:153309](+)	HAC_RS00805	Helicobacter acinonychis str. Sheeba	strain=Sheeba	382638	212
GCF_000009305.1	Helicobacter acinonychis str. Sheeba complete genome, strain Sheeba	16S ribosomal RNA	NC_008229.1	[498577:500086](+)	HAC_RS02510	Helicobacter acinonychis str. Sheeba	strain=Sheeba	382638	212
GCF_000010325.1	Nitratiruptor sp. SB155-2 genomic DNA, complete genome	16S ribosomal RNA	NC_009662.1	[388972:390519](+)	NIS_RS02150	Nitratiruptor sp. SB155-2	strain=SB155-2	387092	387092
GCF_000010325.1	Nitratiruptor sp. SB155-2 genomic DNA, complete genome	16S ribosomal RNA	NC_009662.1	[654523:656071](+)	NIS_RS03585	Nitratiruptor sp. SB155-2	strain=SB155-2	387092	387092
GCF_000010325.1	Nitratiruptor sp. SB155-2 genomic DNA, complete genome	16S ribosomal RNA	NC_009662.1	[1859971:1861519](-)	NIS_RS09780	Nitratiruptor sp. SB155-2	strain=SB155-2	387092	387092
GCF_000010345.1	Sulfurovum sp. NBC37-1 genomic DNA, complete genome	16S ribosomal RNA	NC_009663.1	[37467:38986](+)	SUN_RS00200	Sulfurovum sp. NBC37-1	strain=NBC37-1	387093	387093
GCF_000010345.1	Sulfurovum sp. NBC37-1 genomic DNA, complete genome	16S ribosomal RNA	NC_009663.1	[556517:558036](+)	SUN_RS02805	Sulfurovum sp. NBC37-1	strain=NBC37-1	387093	387093
GCF_000010345.1	Sulfurovum sp. NBC37-1 genomic DNA, complete genome	16S ribosomal RNA	NC_009663.1	[2394737:2396256](-)	SUN_RS11885	Sulfurovum sp. NBC37-1	strain=NBC37-1	387093	387093
GCF_000011725.1	Helicobacter pylori 51, complete genome	16S ribosomal RNA	NC_017382.1	[1152263:1153774](-)	KHP_RS05525	Helicobacter pylori 51	strain=51	290847	210
GCF_000011725.1	Helicobacter pylori 51, complete genome	16S ribosomal RNA	NC_017382.1	[1405695:1407206](-)	KHP_RS06855	Helicobacter pylori 51	strain=51	290847	210
GCF_000011865.1	Campylobacter jejuni RM1221, complete genome	16S ribosomal RNA	NC_003912.7	[37395:38913](+)	CJE_RS00145	Campylobacter jejuni RM1221	strain=RM1221	195099	197
GCF_000011865.1	Campylobacter jejuni RM1221, complete genome	16S ribosomal RNA	NC_003912.7	[432210:433728](+)	CJE_RS02370	Campylobacter jejuni RM1221	strain=RM1221	195099	197
GCF_000011865.1	Campylobacter jejuni RM1221, complete genome	16S ribosomal RNA	NC_003912.7	[775169:776687](+)	CJE_RS04210	Campylobacter jejuni RM1221	strain=RM1221	195099	197
GCF_000012965.1	Sulfurimonas denitrificans DSM 1251, complete genome	16S ribosomal RNA	NC_007575.1	[453096:454621](+)	SUDEN_RS02375	Sulfurimonas denitrificans DSM 1251	strain=DSM 1251	326298	39766
GCF_000012965.1	Sulfurimonas denitrificans DSM 1251, complete genome	16S ribosomal RNA	NC_007575.1	[576607:578132](+)	SUDEN_RS02980	Sulfurimonas denitrificans DSM 1251	strain=DSM 1251	326298	39766
GCF_000012965.1	Sulfurimonas denitrificans DSM 1251, complete genome	16S ribosomal RNA	NC_007575.1	[725055:726580](+)	SUDEN_RS03710	Sulfurimonas denitrificans DSM 1251	strain=DSM 1251	326298	39766
GCF_000012965.1	Sulfurimonas denitrificans DSM 1251, complete genome	16S ribosomal RNA	NC_007575.1	[2144678:2146203](-)	SUDEN_RS10675	Sulfurimonas denitrificans DSM 1251	strain=DSM 1251	326298	39766
GCF_000013245.1	Helicobacter pylori HPAG1, complete genome	16S ribosomal RNA	NC_008086.1	[1138498:1140007](-)	HPAG1_RS05495	Helicobacter pylori HPAG1	strain=HPAG1	357544	210
GCF_000013245.1	Helicobacter pylori HPAG1, complete genome	16S ribosomal RNA	NC_008086.1	[1417920:1419429](-)	HPAG1_RS06905	Helicobacter pylori HPAG1	strain=HPAG1	357544	210
GCF_000014025.1	Arcobacter butzleri RM4018, complete genome	16S ribosomal RNA	NC_009850.1	[847457:848983](+)	ABU_RS04210	Arcobacter butzleri RM4018	strain=RM4018	367737	28197
GCF_000014025.1	Arcobacter butzleri RM4018, complete genome	16S ribosomal RNA	NC_009850.1	[1783818:1785344](-)	ABU_RS08915	Arcobacter butzleri RM4018	strain=RM4018	367737	28197
GCF_000014025.1	Arcobacter butzleri RM4018, complete genome	16S ribosomal RNA	NC_009850.1	[1918660:1920186](-)	ABU_RS09575	Arcobacter butzleri RM4018	strain=RM4018	367737	28197
GCF_000014025.1	Arcobacter butzleri RM4018, complete genome	16S ribosomal RNA	NC_009850.1	[2003601:2005127](-)	ABU_RS09990	Arcobacter butzleri RM4018	strain=RM4018	367737	28197
GCF_000014025.1	Arcobacter butzleri RM4018, complete genome	16S ribosomal RNA	NC_009850.1	[2274804:2276330](-)	ABU_RS11335	Arcobacter butzleri RM4018	strain=RM4018	367737	28197
GCF_000015085.1	Campylobacter fetus subsp. fetus 82-40, complete genome	16S ribosomal RNA	NC_008599.1	[133593:135113](+)	CFF8240_RS00760	Campylobacter fetus subsp. fetus 82-40	strain=82-40	360106	196
GCF_000015085.1	Campylobacter fetus subsp. fetus 82-40, complete genome	16S ribosomal RNA	NC_008599.1	[508856:510376](+)	CFF8240_RS02505	Campylobacter fetus subsp. fetus 82-40	strain=82-40	360106	196
GCF_000015085.1	Campylobacter fetus subsp. fetus 82-40, complete genome	16S ribosomal RNA	NC_008599.1	[603680:605200](+)	CFF8240_RS02940	Campylobacter fetus subsp. fetus 82-40	strain=82-40	360106	196
GCF_000015525.1	Campylobacter jejuni subsp. jejuni 81-176, complete sequence	16S ribosomal RNA	NC_008787.1	[39156:40672](+)	CJJ81176_RS00150	Campylobacter jejuni subsp. jejuni 81-176	strain=81-176	354242	197
GCF_000015525.1	Campylobacter jejuni subsp. jejuni 81-176, complete sequence	16S ribosomal RNA	NC_008787.1	[395766:397280](+)	CJJ81176_RS02075	Campylobacter jejuni subsp. jejuni 81-176	strain=81-176	354242	197
GCF_000015525.1	Campylobacter jejuni subsp. jejuni 81-176, complete sequence	16S ribosomal RNA	NC_008787.1	[692914:694430](+)	CJJ81176_RS03590	Campylobacter jejuni subsp. jejuni 81-176	strain=81-176	354242	197
GCF_000017465.2	Campylobacter curvus 525.92, complete genome	16S ribosomal RNA	NC_009715.2	[828641:830422](+)	CCV52592_RS04105	Campylobacter curvus 525.92	strain=525.92	360105	200
GCF_000017465.2	Campylobacter curvus 525.92, complete genome	16S ribosomal RNA	NC_009715.2	[1347087:1348868](-)	CCV52592_RS06650	Campylobacter curvus 525.92	strain=525.92	360105	200
GCF_000017465.2	Campylobacter curvus 525.92, complete genome	16S ribosomal RNA	NC_009715.2	[1788522:1790303](-)	CCV52592_RS08810	Campylobacter curvus 525.92	strain=525.92	360105	200
GCF_000017485.1	Campylobacter jejuni subsp. doylei 269.97, complete genome	16S ribosomal RNA	NC_009707.1	[39389:40905](+)	JJD26997_RS00155	Campylobacter jejuni subsp. doylei 269.97	strain=269.97	360109	197
GCF_000017485.1	Campylobacter jejuni subsp. doylei 269.97, complete genome	16S ribosomal RNA	NC_009707.1	[1120765:1122281](-)	JJD26997_RS05930	Campylobacter jejuni subsp. doylei 269.97	strain=269.97	360109	197
GCF_000017485.1	Campylobacter jejuni subsp. doylei 269.97, complete genome	16S ribosomal RNA	NC_009707.1	[1348567:1350083](-)	JJD26997_RS07085	Campylobacter jejuni subsp. doylei 269.97	strain=269.97	360109	197
GCF_000017585.1	Campylobacter hominis ATCC BAA-381, complete genome	16S ribosomal RNA	NC_009714.1	[72258:73774](+)	CHAB381_RS00390	Campylobacter hominis ATCC BAA-381	strain=ATCC BAA-381	360107	76517
GCF_000017585.1	Campylobacter hominis ATCC BAA-381, complete genome	16S ribosomal RNA	NC_009714.1	[411383:412899](+)	CHAB381_RS02185	Campylobacter hominis ATCC BAA-381	strain=ATCC BAA-381	360107	76517
GCF_000017585.1	Campylobacter hominis ATCC BAA-381, complete genome	16S ribosomal RNA	NC_009714.1	[1447381:1448897](-)	CHAB381_RS07035	Campylobacter hominis ATCC BAA-381	strain=ATCC BAA-381	360107	76517
GCF_000017725.2	Campylobacter concisus 13826, complete genome	16S ribosomal RNA	NC_009802.2	[708607:710121](+)	CCC13826_RS03575	Campylobacter concisus 13826	strain=13826	360104	199
GCF_000017725.2	Campylobacter concisus 13826, complete genome	16S ribosomal RNA	NC_009802.2	[1086330:1087844](-)	CCC13826_RS05430	Campylobacter concisus 13826	strain=13826	360104	199
GCF_000017725.2	Campylobacter concisus 13826, complete genome	16S ribosomal RNA	NC_009802.2	[1836316:1837830](-)	CCC13826_RS09245	Campylobacter concisus 13826	strain=13826	360104	199
GCF_000017905.1	Campylobacter jejuni subsp. jejuni 81116, complete genome	16S ribosomal RNA	NC_009839.1	[37564:39082](+)	C8J_RS00145	Campylobacter jejuni subsp. jejuni 81116	strain=81116; NCTC 11828	407148	197
GCF_000017905.1	Campylobacter jejuni subsp. jejuni 81116, complete genome	16S ribosomal RNA	NC_009839.1	[403436:404954](+)	C8J_RS02090	Campylobacter jejuni subsp. jejuni 81116	strain=81116; NCTC 11828	407148	197
GCF_000017905.1	Campylobacter jejuni subsp. jejuni 81116, complete genome	16S ribosomal RNA	NC_009839.1	[706614:708132](+)	C8J_RS03650	Campylobacter jejuni subsp. jejuni 81116	strain=81116; NCTC 11828	407148	197
GCF_000019205.1	Campylobacter lari RM2100, complete genome	16S ribosomal RNA	NC_012039.1	[436355:437873](+)	CLA_RS02295	Campylobacter lari RM2100	strain=RM2100; ATCC BAA-1060D	306263	201
GCF_000019205.1	Campylobacter lari RM2100, complete genome	16S ribosomal RNA	NC_012039.1	[488557:490075](+)	CLA_RS02580	Campylobacter lari RM2100	strain=RM2100; ATCC BAA-1060D	306263	201
GCF_000019205.1	Campylobacter lari RM2100, complete genome	16S ribosomal RNA	NC_012039.1	[1412606:1414124](-)	CLA_RS07300	Campylobacter lari RM2100	strain=RM2100; ATCC BAA-1060D	306263	201
GCF_000020245.1	Helicobacter pylori Shi470, complete genome	16S ribosomal RNA	NC_010698.2	[1160075:1161586](-)	HPSH_RS05570	Helicobacter pylori Shi470	strain=Shi470	512562	210
GCF_000020245.1	Helicobacter pylori Shi470, complete genome	16S ribosomal RNA	NC_010698.2	[1430987:1432498](-)	HPSH_RS06950	Helicobacter pylori Shi470	strain=Shi470	512562	210
GCF_000021165.1	Helicobacter pylori G27, complete genome	16S ribosomal RNA	NC_011333.1	[1192744:1194254](-)	HPG27_RS05690	Helicobacter pylori G27	strain=G27	563041	210
GCF_000021165.1	Helicobacter pylori G27, complete genome	16S ribosomal RNA	NC_011333.1	[1474632:1476142](-)	HPG27_RS07130	Helicobacter pylori G27	strain=G27	563041	210
GCF_000021465.1	Helicobacter pylori P12, complete genome	16S ribosomal RNA	NC_011498.1	[1183402:1184911](-)	HPP12_RS05660	Helicobacter pylori P12	strain=P12	570508	210
GCF_000021465.1	Helicobacter pylori P12, complete genome	16S ribosomal RNA	NC_011498.1	[1494425:1495934](-)	HPP12_RS07245	Helicobacter pylori P12	strain=P12	570508	210
GCF_000021725.1	Nautilia profundicola AmH, complete genome	16S ribosomal RNA	NC_012115.1	[139766:141283](+)	NAMH_RS00785	Nautilia profundicola AmH	strain=AmH	598659	244787
GCF_000021725.1	Nautilia profundicola AmH, complete genome	16S ribosomal RNA	NC_012115.1	[642054:643571](+)	NAMH_RS03550	Nautilia profundicola AmH	strain=AmH	598659	244787
GCF_000021725.1	Nautilia profundicola AmH, complete genome	16S ribosomal RNA	NC_012115.1	[1521979:1523496](-)	NAMH_RS07960	Nautilia profundicola AmH	strain=AmH	598659	244787
GCF_000021725.1	Nautilia profundicola AmH, complete genome	16S ribosomal RNA	NC_012115.1	[1637201:1638718](-)	NAMH_RS08655	Nautilia profundicola AmH	strain=AmH	598659	244787
GCF_000023805.1	Helicobacter pylori 52, complete genome	16S ribosomal RNA	NC_017354.1	[1137184:1138695](-)	HPKB_RS05465	Helicobacter pylori 52	strain=52	684950	210
GCF_000023805.1	Helicobacter pylori 52, complete genome	16S ribosomal RNA	NC_017354.1	[1389778:1391289](-)	HPKB_RS06775	Helicobacter pylori 52	strain=52	684950	210
GCF_000024885.1	Sulfurospirillum deleyianum DSM 6946, complete genome	16S ribosomal RNA	NC_013512.1	[1695049:1696561](-)	SDEL_RS08475	Sulfurospirillum deleyianum DSM 6946	strain=DSM 6946	525898	65553
GCF_000024885.1	Sulfurospirillum deleyianum DSM 6946, complete genome	16S ribosomal RNA	NC_013512.1	[1701203:1702715](-)	SDEL_RS08505	Sulfurospirillum deleyianum DSM 6946	strain=DSM 6946	525898	65553
GCF_000024885.1	Sulfurospirillum deleyianum DSM 6946, complete genome	16S ribosomal RNA	NC_013512.1	[2280176:2281688](-)	SDEL_RS11475	Sulfurospirillum deleyianum DSM 6946	strain=DSM 6946	525898	65553
